┌────────────┬────────────┬───────────────┐
│ price_band │ units_sold │ total_revenue │
│   double   │   int128   │    double     │
├────────────┼────────────┼───────────────┤
│        0.0 │      45618 │     352757.32 │
│       10.0 │      70065 │    1002970.29 │
│       20.0 │      25679 │     628095.42 │
│       30.0 │      15868 │     543474.06 │
│       40.0 │      10738 │     484738.93 │
│       50.0 │       7649 │     420275.47 │
│       60.0 │       5602 │     357315.51 │
│       70.0 │       3372 │      258904.0 │
│       80.0 │       3211 │     272313.33 │
│       90.0 │       1912 │     181798.45 │
│      100.0 │       1731 │     181257.39 │
│      110.0 │       1581 │     184198.24 │
│      120.0 │       1745 │     216055.15 │
│      130.0 │        537 │      73009.47 │
│      140.0 │       3408 │     491950.85 │
│      150.0 │       1129 │      172651.3 │
│      160.0 │        208 │      34328.45 │
│      170.0 │        350 │      61422.33 │
│      180.0 │        367 │      68853.26 │
│      190.0 │        421 │      82333.39 │
└────────────┴────────────┴───────────────┘
  20 rows                       3 columns
