┌─────────┬──────────────┬──────────────────┬───────────┬───────────────┐
│ persona │ price_bucket │ num_transactions │ avg_units │ total_revenue │
│ varchar │   varchar    │      int64       │  double   │    double     │
├─────────┼──────────────┼──────────────────┼───────────┼───────────────┤
│ budget  │ 1) $0-$9     │             2328 │      4.17 │      77480.69 │
│ budget  │ 2) $10-$19   │             4165 │      4.21 │     250833.07 │
│ budget  │ 3) $20-$34   │             1988 │      3.84 │      203458.9 │
│ budget  │ 4) $35-$49   │              998 │      4.11 │     170603.08 │
│ budget  │ 5) $50-$74   │              789 │       4.4 │     202956.26 │
│ budget  │ 6) $75-$99   │              348 │      6.54 │     195075.62 │
│ budget  │ 7) $100-$149 │              534 │      3.97 │     276146.66 │
│ budget  │ 8) $150+     │              146 │      4.64 │     127508.67 │
│ casual  │ 1) $0-$9     │             2323 │      4.21 │      73436.57 │
│ casual  │ 2) $10-$19   │             4282 │      3.95 │     239466.32 │
│ casual  │ 3) $20-$34   │             1952 │      3.68 │     194886.07 │
│ casual  │ 4) $35-$49   │              924 │      4.08 │     163113.25 │
│ casual  │ 5) $50-$74   │              789 │      3.43 │     161482.92 │
│ casual  │ 6) $75-$99   │              351 │      5.72 │     174017.93 │
│ casual  │ 7) $100-$149 │              584 │      4.86 │     359430.79 │
│ casual  │ 8) $150+     │              155 │      4.27 │     113698.49 │
│ fitness │ 1) $0-$9     │             2518 │      4.95 │      94937.56 │
│ fitness │ 2) $10-$19   │             4159 │       3.8 │     230061.68 │
│ fitness │ 3) $20-$34   │             2053 │      4.28 │     234900.08 │
│ fitness │ 4) $35-$49   │             1034 │      3.58 │     158706.03 │
│ fitness │ 5) $50-$74   │              826 │      5.36 │     265025.84 │
│ fitness │ 6) $75-$99   │              362 │      5.17 │     155883.08 │
│ fitness │ 7) $100-$149 │              567 │      2.95 │      210933.5 │
│ fitness │ 8) $150+     │              145 │      3.44 │      79716.68 │
│ premium │ 1) $0-$9     │             2317 │      4.67 │      84179.66 │
│ premium │ 2) $10-$19   │             4231 │       3.7 │     225373.33 │
│ premium │ 3) $20-$34   │             1896 │      5.19 │     260390.69 │
│ premium │ 4) $35-$49   │             1008 │       4.4 │     188772.54 │
│ premium │ 5) $50-$74   │              824 │      3.25 │     163822.46 │
│ premium │ 6) $75-$99   │              321 │       3.6 │      98738.78 │
│ premium │ 7) $100-$149 │              538 │      3.45 │     239959.34 │
│ premium │ 8) $150+     │              154 │      4.29 │     107859.62 │
│ unknown │ 1) $0-$9     │              552 │      5.17 │      22722.84 │
│ unknown │ 2) $10-$19   │             1043 │      3.98 │      57235.89 │
│ unknown │ 3) $20-$34   │              440 │      5.32 │      60762.28 │
│ unknown │ 4) $35-$49   │              222 │      2.22 │      20715.49 │
│ unknown │ 5) $50-$74   │              217 │      4.35 │      56029.75 │
│ unknown │ 6) $75-$99   │               86 │       2.4 │      17574.12 │
│ unknown │ 7) $100-$149 │              136 │      3.82 │      60000.81 │
│ unknown │ 8) $150+     │               31 │      8.84 │       50814.2 │
└─────────┴──────────────┴──────────────────┴───────────┴───────────────┘
  40 rows                                                     5 columns
