┌─────────┬──────────────┬───────────────┬─────────────┐
│ persona │ price_bucket │ total_revenue │ total_units │
│ varchar │   varchar    │    double     │   int128    │
├─────────┼──────────────┼───────────────┼─────────────┤
│ budget  │ 7) $100-$149 │     276146.66 │        2118 │
│ budget  │ 2) $10-$19   │     250833.07 │       17545 │
│ budget  │ 3) $20-$34   │      203458.9 │        7635 │
│ budget  │ 5) $50-$74   │     202956.26 │        3472 │
│ budget  │ 6) $75-$99   │     195075.62 │        2275 │
│ budget  │ 4) $35-$49   │     170603.08 │        4097 │
│ budget  │ 8) $150+     │     127508.67 │         677 │
│ budget  │ 1) $0-$9     │      77480.69 │        9706 │
│ casual  │ 7) $100-$149 │     359430.79 │        2840 │
│ casual  │ 2) $10-$19   │     239466.32 │       16898 │
│ casual  │ 3) $20-$34   │     194886.07 │        7189 │
│ casual  │ 6) $75-$99   │     174017.93 │        2006 │
│ casual  │ 4) $35-$49   │     163113.25 │        3768 │
│ casual  │ 5) $50-$74   │     161482.92 │        2706 │
│ casual  │ 8) $150+     │     113698.49 │         662 │
│ casual  │ 1) $0-$9     │      73436.57 │        9784 │
│ fitness │ 5) $50-$74   │     265025.84 │        4430 │
│ fitness │ 3) $20-$34   │     234900.08 │        8796 │
│ fitness │ 2) $10-$19   │     230061.68 │       15810 │
│ fitness │ 7) $100-$149 │      210933.5 │        1670 │
│ fitness │ 4) $35-$49   │     158706.03 │        3701 │
│ fitness │ 6) $75-$99   │     155883.08 │        1871 │
│ fitness │ 1) $0-$9     │      94937.56 │       12465 │
│ fitness │ 8) $150+     │      79716.68 │         499 │
│ premium │ 3) $20-$34   │     260390.69 │        9833 │
│ premium │ 7) $100-$149 │     239959.34 │        1854 │
│ premium │ 2) $10-$19   │     225373.33 │       15659 │
│ premium │ 4) $35-$49   │     188772.54 │        4433 │
│ premium │ 5) $50-$74   │     163822.46 │        2682 │
│ premium │ 8) $150+     │     107859.62 │         661 │
│ premium │ 6) $75-$99   │      98738.78 │        1155 │
│ premium │ 1) $0-$9     │      84179.66 │       10811 │
│ unknown │ 3) $20-$34   │      60762.28 │        2340 │
│ unknown │ 7) $100-$149 │      60000.81 │         520 │
│ unknown │ 2) $10-$19   │      57235.89 │        4153 │
│ unknown │ 5) $50-$74   │      56029.75 │         943 │
│ unknown │ 8) $150+     │       50814.2 │         274 │
│ unknown │ 1) $0-$9     │      22722.84 │        2852 │
│ unknown │ 4) $35-$49   │      20715.49 │         493 │
│ unknown │ 6) $75-$99   │      17574.12 │         206 │
└─────────┴──────────────┴───────────────┴─────────────┘
  40 rows                                    4 columns
