┌────────────┬────────┬─────────────────┬───────────────────┐
│ price_band │ demand │ previous_demand │ demand_change_pct │
│   double   │ int128 │     int128      │      double       │
├────────────┼────────┼─────────────────┼───────────────────┤
│       15.0 │  26805 │           43260 │            -38.04 │
│       20.0 │  14518 │           26805 │            -45.84 │
│       25.0 │  11161 │           14518 │            -23.12 │
│       35.0 │   5754 │           10114 │            -43.11 │
│       45.0 │   4465 │            6273 │            -28.82 │
│       65.0 │   1818 │            3784 │            -51.96 │
│       70.0 │    982 │            1818 │            -45.98 │
│       80.0 │   1488 │            2390 │            -37.74 │
│       90.0 │    849 │            1723 │            -50.73 │
│      100.0 │    842 │            1063 │            -20.79 │
│      110.0 │    346 │             889 │            -61.08 │
│      125.0 │    551 │            1194 │            -53.85 │
│      130.0 │    103 │             551 │            -81.31 │
│      150.0 │    995 │            1515 │            -34.32 │
│      155.0 │    134 │             995 │            -86.53 │
│      200.0 │    280 │             393 │            -28.75 │
└────────────┴────────┴─────────────────┴───────────────────┘
  16 rows                                         4 columns
