┌─────────┬───────────┬───────────────┬────────────┬──────────────────┬─────────────┬───────────┬──────────────┬────────────┬────────────┬─────────────────┐
│ persona │ city_tier │   occasion    │ price_band │ num_transactions │ total_units │ avg_price │ total_reward │ avg_reward │ prev_units │ transition_prob │
│ varchar │  varchar  │    varchar    │   double   │      int64       │   int128    │  double   │    double    │   double   │   int128   │     double      │
├─────────┼───────────┼───────────────┼────────────┼──────────────────┼─────────────┼───────────┼──────────────┼────────────┼────────────┼─────────────────┤
│ budget  │ Tier 1    │ daily snack   │        0.0 │               64 │         151 │      7.66 │      1162.14 │      18.16 │       NULL │             0.0 │
│ budget  │ Tier 1    │ daily snack   │       10.0 │              110 │         462 │     14.11 │       6251.8 │      56.83 │        151 │          2.0596 │
│ budget  │ Tier 1    │ daily snack   │       20.0 │               37 │         361 │     23.54 │      7762.18 │     209.79 │        462 │         -0.2186 │
│ budget  │ Tier 1    │ daily snack   │       30.0 │               15 │         287 │     32.82 │      9307.81 │     620.52 │        361 │          -0.205 │
│ budget  │ Tier 1    │ daily snack   │       40.0 │               21 │          48 │     44.74 │      2164.98 │     103.09 │        287 │         -0.8328 │
│ budget  │ Tier 1    │ daily snack   │       50.0 │               11 │         233 │     54.09 │     12799.26 │    1163.57 │         48 │          3.8542 │
│ budget  │ Tier 1    │ daily snack   │       70.0 │                7 │          10 │     74.47 │       742.63 │     106.09 │        233 │         -0.9571 │
│ budget  │ Tier 1    │ daily snack   │      120.0 │                7 │          14 │    125.43 │       1759.8 │      251.4 │         10 │             0.4 │
│ budget  │ Tier 1    │ daily snack   │      140.0 │                9 │          19 │    145.34 │      2753.43 │     305.94 │         14 │          0.3571 │
│ budget  │ Tier 1    │ road-trip     │        0.0 │               63 │         142 │      7.68 │      1073.15 │      17.03 │       NULL │             0.0 │
│ budget  │ Tier 1    │ road-trip     │       10.0 │              110 │         233 │     13.85 │      3187.52 │      28.98 │        142 │          0.6408 │
│ budget  │ Tier 1    │ road-trip     │       20.0 │               30 │          59 │     23.41 │      1392.42 │      46.41 │        233 │         -0.7468 │
│ budget  │ Tier 1    │ road-trip     │       30.0 │               14 │          26 │     34.92 │       904.61 │      64.61 │         59 │         -0.5593 │
│ budget  │ Tier 1    │ road-trip     │       40.0 │               20 │          38 │     45.06 │      1713.17 │      85.66 │         26 │          0.4615 │
│ budget  │ Tier 1    │ road-trip     │       50.0 │               15 │          29 │     54.64 │      1595.29 │     106.35 │         38 │         -0.2368 │
│ budget  │ Tier 1    │ road-trip     │       60.0 │                5 │          12 │     63.59 │       765.47 │     153.09 │         29 │         -0.5862 │
│ budget  │ Tier 1    │ road-trip     │       80.0 │                6 │          10 │     85.66 │       864.61 │      144.1 │         12 │         -0.1667 │
│ budget  │ Tier 1    │ road-trip     │      110.0 │                5 │          12 │     117.2 │       1400.8 │     280.16 │         10 │             0.2 │
│ budget  │ Tier 2    │ festive       │        0.0 │               90 │         200 │      7.56 │      1460.03 │      16.22 │       NULL │             0.0 │
│ budget  │ Tier 2    │ festive       │       10.0 │              164 │         545 │     14.07 │      8347.62 │       50.9 │        200 │           1.725 │
│   ·     │   ·       │    ·          │         ·  │                · │           · │        ·  │          ·   │         ·  │          · │             ·   │
│   ·     │   ·       │    ·          │         ·  │                · │           · │        ·  │          ·   │         ·  │          · │             ·   │
